id,timestamp,temperature,humidity,co2,vibration,energy_usage,risk_prediction
1,2025-04-26 13:16:22,26.3254,25.0,662.776,3.61822,755.942,warning
2,2025-04-26 13:16:25,25.214,48.4089,735.257,2.91884,636.326,warning
3,2025-04-26 13:16:26,26.2901,36.2046,617.473,0.752619,749.156,warning
4,2025-04-26 13:16:27,21.1467,42.682,736.479,4.08275,613.291,warning
5,2025-04-26 13:16:28,22.8645,50.5671,587.516,2.41925,909.676,warning
6,2025-04-26 13:16:29,25.4968,39.6973,638.203,3.32824,726.921,warning
7,2025-04-26 13:16:30,24.8198,44.0412,555.682,3.92287,897.324,warning
8,2025-04-26 13:16:31,23.5157,37.9494,596.261,3.02054,926.87,warning
9,2025-04-26 13:16:32,26.87,45.9529,1200.0,1.49242,920.462,warning
10,2025-04-26 13:16:37,26.259,48.6632,696.943,6.15892,666.979,warning
11,2025-04-26 13:16:39,19.7119,30.231,506.552,3.57375,406.861,risk
12,2025-04-26 13:16:41,26.2496,71.332,663.994,3.56811,738.344,warning
13,2025-04-26 13:16:42,24.4987,38.6281,713.524,4.14853,1200.0,risk
14,2025-04-26 13:16:43,26.2681,45.5302,617.499,2.81514,675.076,warning
15,2025-04-26 13:16:44,25.3276,46.7701,683.908,3.78169,1128.04,warning
16,2025-04-26 13:16:45,24.9746,43.2001,657.881,0.881047,912.473,warning
17,2025-04-26 13:16:50,26.824,55.8051,701.235,4.16918,833.565,warning
18,2025-04-26 13:16:52,33.0,50.938,495.046,0.987958,611.409,warning
19,2025-04-26 13:16:54,24.1167,58.8362,587.981,2.8592,837.023,warning
20,2025-04-26 13:16:55,24.1672,64.9044,621.505,4.54678,918.647,warning
21,2025-04-26 13:16:59,28.1896,43.9311,554.158,4.93735,898.255,warning
22,2025-04-26 13:17:00,25.7018,40.4417,639.72,3.76206,491.237,warning
23,2025-04-26 13:17:01,25.4348,37.2796,495.122,4.0399,534.611,warning
24,2025-04-26 13:17:02,22.675,40.0967,554.43,2.99767,1200.0,risk
25,2025-04-26 13:17:03,23.7022,44.307,781.21,3.78662,768.192,warning
26,2025-04-26 13:17:05,24.6864,58.0232,758.066,1.74511,803.793,warning
27,2025-04-26 13:17:07,24.8389,35.1129,827.465,1.49461,688.798,warning
28,2025-04-26 13:17:10,26.6301,55.735,248.842,1.91089,743.58,warning
29,2025-04-26 13:17:11,25.1353,47.4123,559.665,3.75008,1022.59,warning
30,2025-04-26 13:16:22,26.3254,25.0,662.776,3.61822,755.942,warning
31,2025-04-26 13:16:25,25.214,48.4089,735.257,2.91884,636.326,warning
32,2025-04-26 13:16:26,26.2901,36.2046,617.473,0.752619,749.156,warning
33,2025-04-26 13:16:27,21.1467,42.682,736.479,4.08275,613.291,warning
34,2025-04-26 13:16:28,22.8645,50.5671,587.516,2.41925,909.676,warning
35,2025-04-26 13:16:29,25.4968,39.6973,638.203,3.32824,726.921,warning
36,2025-04-26 13:16:30,24.8198,44.0412,555.682,3.92287,897.324,warning
37,2025-04-26 13:16:31,23.5157,37.9494,596.261,3.02054,926.87,warning
38,2025-04-26 13:16:32,26.87,45.9529,1200.0,1.49242,920.462,warning
39,2025-04-26 13:16:37,26.259,48.6632,696.943,6.15892,666.979,warning
40,2025-04-26 13:16:39,19.7119,30.231,506.552,3.57375,406.861,risk
41,2025-04-26 13:16:41,26.2496,71.332,663.994,3.56811,738.344,warning
42,2025-04-26 13:16:42,24.4987,38.6281,713.524,4.14853,1200.0,risk
43,2025-04-26 13:16:43,26.2681,45.5302,617.499,2.81514,675.076,warning
44,2025-04-26 13:16:44,25.3276,46.7701,683.908,3.78169,1128.04,warning
45,2025-04-26 13:16:45,24.9746,43.2001,657.881,0.881047,912.473,warning
46,2025-04-26 13:16:50,26.824,55.8051,701.235,4.16918,833.565,warning
47,2025-04-26 13:16:52,33.0,50.938,495.046,0.987958,611.409,warning
48,2025-04-26 13:16:54,24.1167,58.8362,587.981,2.8592,837.023,warning
49,2025-04-26 13:16:55,24.1672,64.9044,621.505,4.54678,918.647,warning
50,2025-04-26 13:16:59,28.1896,43.9311,554.158,4.93735,898.255,warning
51,2025-04-26 13:17:00,25.7018,40.4417,639.72,3.76206,491.237,warning
52,2025-04-26 13:17:01,25.4348,37.2796,495.122,4.0399,534.611,warning
53,2025-04-26 13:17:02,22.675,40.0967,554.43,2.99767,1200.0,risk
54,2025-04-26 13:17:03,23.7022,44.307,781.21,3.78662,768.192,warning
55,2025-04-26 13:17:05,24.6864,58.0232,758.066,1.74511,803.793,warning
56,2025-04-26 13:17:07,24.8389,35.1129,827.465,1.49461,688.798,warning
57,2025-04-26 13:17:10,26.6301,55.735,248.842,1.91089,743.58,warning
58,2025-04-26 13:17:11,25.1353,47.4123,559.665,3.75008,1022.59,warning
59,2025-04-28 13:29:15,20.8967,25.0,706.692,4.45215,483.823,risk
60,2025-04-28 13:29:16,24.7439,37.9284,438.586,4.24837,817.546,warning
61,2025-04-28 13:29:17,24.437,54.461,564.165,2.63899,638.308,warning
62,2025-04-28 13:29:18,23.685,46.4478,506.916,3.80771,794.719,warning
63,2025-04-28 13:29:19,29.1109,54.6375,741.444,2.38062,671.368,warning
64,2025-04-28 13:29:20,25.869,48.4468,561.307,4.8674,554.089,warning
65,2025-04-28 13:29:21,23.7032,53.1878,566.664,2.27441,708.016,warning
66,2025-04-28 13:29:22,23.73,39.7162,658.452,2.92491,422.894,risk
67,2025-04-28 13:29:23,26.756,45.9207,558.461,3.21612,582.082,warning
68,2025-04-28 13:29:24,23.5371,43.9892,660.199,3.01644,941.046,warning
